"City","Month","Date","Minimum.Temperature","Maximum.Temperature","Rainfall.mm","Evaporation.mm","Sunshine.Hours","9am.Temperature","9am.Relative.Humidity","9am.Cloud.Amount.oktas","3pm.Temperature","3pm.Relative.Humidity","3pm.Cloud.Amount.oktas"
"Melbourne","Jan",2014-01-01,16.2,26.3,0,10.6,0,21.9,91,NA,NA,NA,NA
"Sydney","Jan",2014-01-01,20.5,27.1,0,7.4,5.9,24.4,58,5,24.9,62,8
"Adelaide","Jan",2014-01-01,22,33,NA,NA,0.5,29.8,29,NA,29.7,50,NA
"Brisbane","Jan",2014-01-01,20.6,30.6,0,3.4,12.5,28.8,52,4,28.9,52,1
"Perth","Jan",2014-01-01,16.9,26.1,0,9,12.6,22.6,56,4,23.9,42,1
"Melbourne","Jan",2014-01-02,15.2,23.6,4.8,5.8,8.9,17.4,98,6,22.6,43,NA
"Sydney","Jan",2014-01-02,22.3,36.5,0,8,3.5,27.1,50,7,34.5,22,7
"Adelaide","Jan",2014-01-02,16.9,22.7,4.2,13.8,0,17.8,92,NA,21.2,67,NA
"Brisbane","Jan",2014-01-02,21.1,31.8,0,9,8.6,26.8,58,7,29.8,54,7
"Perth","Jan",2014-01-02,12.6,25.7,0,9.2,7.9,20.5,56,7,24.1,48,5
"Melbourne","Jan",2014-01-03,13.9,22.3,0,6.2,10.5,16.5,66,5,20.3,54,1
"Sydney","Jan",2014-01-03,21,26.2,0.2,5.6,5.6,22.2,62,7,24.8,52,6
"Adelaide","Jan",2014-01-03,15.2,22.6,0.8,2,8.9,16.6,78,NA,20.2,53,NA
"Brisbane","Jan",2014-01-03,22.7,34.5,1,8.6,11.2,30.6,55,2,32,57,2
"Perth","Jan",2014-01-03,14.3,26.5,0,7.2,13.1,20,47,0,24.3,44,0
"Melbourne","Jan",2014-01-04,13.4,20.7,NA,7.8,3.8,15.9,57,NA,19.1,51,NA
"Sydney","Jan",2014-01-04,20.1,27.5,0,7.4,11.2,22.9,60,1,24.6,54,1
"Adelaide","Jan",2014-01-04,14.8,22.8,0.6,NA,13.2,17.3,57,NA,21.3,36,NA
"Brisbane","Jan",2014-01-04,23.8,38.7,0,10.4,12.8,34.4,45,1,35.5,47,1
